Model,Scaler,Best Parameters,Best Score,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,R-squared
Linear Regression,None,"{'copy_X': True, 'fit_intercept': False}",0.6780928102534213,0.4850824891660407,0.3353560266342885,0.5790993236348049,-3.6448494895012935
Random Forest Regressor,None,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5736974480099347,0.2537738095238095,0.07616729464285714,0.2759842289748766,-0.05495530582600483
Gradient Boosting Regressor,None,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 200}",0.6780928102534213,0.31941441540229815,0.13104191556607112,0.36199712093616315,-0.8149963807989118
Support Vector Regressor,None,"{'C': 1000, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 2000, 'shrinking': False, 'tol': 1e-05}",0.6278156294103704,0.24388489213547432,0.11245289572141572,0.33533997036055174,-0.5575291147344321
Ridge Regression,None,{'alpha': 0.1},0.6635828230942679,0.483201368007746,0.3002504349097242,0.5479511245628794,-3.1586194031152113
Lasso Regression,None,"{'alpha': 0.1, 'max_iter': 5000, 'tol': 1e-06}",0.1239031083168895,0.2729763448687133,0.11293389360572546,0.3360563845632537,-0.5641911771396018
MLP Regressor,None,"{'activation': 'tanh', 'alpha': 0.01, 'early_stopping': False, 'hidden_layer_sizes': (50, 50, 100), 'learning_rate': 'adaptive', 'max_iter': 200, 'solver': 'adam'}",0.6409562337718839,0.3729977879531027,0.21983397821330458,0.4688645627612569,-2.0448110675900533
Linear Regression,StandardScaler,"{'copy_X': True, 'fit_intercept': False}",0.6780927975443758,0.5510782539450353,0.6416223066082057,0.8010132998947057,-7.8867913697933005
Random Forest Regressor,StandardScaler,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5721302628251448,0.2650527210884355,0.08464841713232917,0.290944010304954,-0.17242311417578993
Gradient Boosting Regressor,StandardScaler,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 200}",0.6780928102534213,0.2831016987436889,0.09819723627682617,0.31336438259129923,-0.3600810677789048
Support Vector Regressor,StandardScaler,"{'C': 100, 'coef0': 0, 'degree': 5, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 1000, 'shrinking': True, 'tol': 0.001}",0.5988935722179471,0.2932310388669886,0.14978489916175505,0.38702054100752203,-1.0745961221838556
Ridge Regression,StandardScaler,{'alpha': 0.1},0.6578269676072621,0.5037870232036263,0.31616294086632657,0.562283683620934,-3.379015606848304
Lasso Regression,StandardScaler,"{'alpha': 0.1, 'max_iter': 5000, 'tol': 1e-05}",0.0037842931784691602,0.2431972789115646,0.07633219954648525,0.2762828252832326,-0.057239321608039795
MLP Regressor,StandardScaler,"{'activation': 'relu', 'alpha': 0.01, 'early_stopping': False, 'hidden_layer_sizes': (50, 50, 100), 'learning_rate': 'adaptive', 'max_iter': 600, 'solver': 'adam'}",0.6629861226705952,0.3063911839532402,0.11412257366031363,0.33782032748239654,-0.5806549932223084
Linear Regression,MinMaxScaler,"{'copy_X': True, 'fit_intercept': True}",0.6780928102534213,0.48531576269988225,0.33831975545113196,0.5816526071901784,-3.6858986229255386
Random Forest Regressor,MinMaxScaler,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5740649234441944,0.2578452380952381,0.0835521220238095,0.2890538393168468,-0.15723887602072817
