Model,Scaler,Best Parameters,Best Score,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,R-squared
Linear Regression,None,"{'copy_X': True, 'fit_intercept': True}",0.4732048810384311,234.5910058676842,86363.94468630265,293.87743140006967,0.6017718423193098
Random Forest Regressor,None,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6934675539839013,245.3040505822202,94778.2875616286,307.86082498692264,0.5629729167548765
Gradient Boosting Regressor,None,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.7335779638391311,262.6368069702455,104359.23273101378,323.04679650325244,0.518794733862669
Support Vector Regressor,None,"{'C': 10, 'epsilon': 0.5, 'kernel': 'linear'}",0.4478505362217286,240.39193860612525,93204.47058450441,305.29407230489164,0.5702298598878384
Ridge Regression,None,{'alpha': 0.1},0.4732048652322272,234.5923647125416,86364.64283880821,293.8786192270683,0.6017686231057007
Lasso Regression,None,{'alpha': 0.1},0.4731975063601525,234.64046330159283,86385.97768232186,293.91491571936575,0.6016702471519655
MLP Regressor,None,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}",0.4606361629918579,246.17836702060063,92246.21724868205,303.7206236801875,0.5746484104983043
Linear Regression,StandardScaler,"{'copy_X': True, 'fit_intercept': True}",0.4732048810384311,234.59100586768378,86363.94468630229,293.87743140006904,0.6017718423193115
Random Forest Regressor,StandardScaler,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.693396858822412,247.5869556497463,95004.6766298634,308.2282865505102,0.5619290262530048
Gradient Boosting Regressor,StandardScaler,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.7335779638391311,264.54502319345994,105020.19027292701,324.06818769037943,0.5157470279574174
Support Vector Regressor,StandardScaler,"{'C': 10, 'epsilon': 0.1, 'kernel': 'linear'}",0.442782689849467,237.80922145398355,91207.99893683569,302.0066206837785,0.5794356833249299
Ridge Regression,StandardScaler,{'alpha': 0.1},0.47319146481414853,234.61972694295858,86379.17469498374,293.90334243588273,0.6017016160423541
Lasso Regression,StandardScaler,{'alpha': 0.1},0.47312155847251036,234.74119254008636,86479.89568954933,294.0746430577606,0.6012371868612726
