Model,Scaler,Best Parameters,Best Score,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,R-squared
Linear Regression,None,"{'copy_X': True, 'fit_intercept': True}",0.5323391488978637,2.5789288161797144,10.684128145681527,3.2686584626848867,0.5818851649337058
Random Forest Regressor,None,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7081124420680918,2.574213522740429,10.576631195686923,3.252173303452158,0.5860919723497409
Gradient Boosting Regressor,None,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.7435791707691428,2.6776216095760246,12.235549929958164,3.4979350951608814,0.5211715105665712
Support Vector Regressor,None,"{'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 2000, 'shrinking': False, 'tol': 0.0001}",0.7261696790827783,4.014695822390531,24.87322738667268,4.987306626494172,0.026606081044744934
Ridge Regression,None,{'alpha': 0.1},0.5323387899374077,2.578755246737601,10.682899075404508,3.2684704489110055,0.5819332636188912
Lasso Regression,None,"{'alpha': 0.1, 'max_iter': 5000, 'tol': 1e-06}",0.5269055606756061,2.5483834247070942,10.474610281018998,3.236450259314825,0.5900844794900576
MLP Regressor,None,"{'activation': 'logistic', 'alpha': 0.01, 'early_stopping': False, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 400, 'solver': 'adam'}",0.5575610866675151,2.9297246279611713,13.017254711550716,3.6079432799797058,0.49058011729895934
Linear Regression,StandardScaler,"{'copy_X': True, 'fit_intercept': True}",0.5323391488978637,2.578928816179713,10.684128145681507,3.2686584626848836,0.5818851649337065
Random Forest Regressor,StandardScaler,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7080783573352345,2.5935045645356287,10.757227547437338,3.2798212676054983,0.5790244781381313
Gradient Boosting Regressor,StandardScaler,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.7435791707691428,2.6405426652885784,11.710950772336759,3.4221266446957745,0.5417012802655099
Support Vector Regressor,StandardScaler,"{'C': 100, 'coef0': 1, 'degree': 5, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 25000, 'shrinking': False, 'tol': 0.001}",0.6344448062903019,4.588673971143711,51.24433493301361,7.158514855262481,-1.0054061834946468
Ridge Regression,StandardScaler,{'alpha': 0.1},0.5323131644766883,2.5751218407883147,10.663895965191259,3.2655621208593257,0.5826769351833109
Lasso Regression,StandardScaler,"{'alpha': 0.1, 'max_iter': 5000, 'tol': 0.0001}",0.5096534975799013,2.5620217898895157,10.471274900401797,3.235934934513022,0.5902150069507571
