Model,Scaler,Best Parameters,Best Score,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,R-squared,Accuracy,Recall,Precision,F1 Score
Linear Regression,None,"{'copy_X': True, 'fit_intercept': True}",0.4543514659800691,0.4443579896648445,0.2548075268497242,0.5047846341260045,-0.07656180094008458,0.5384615384615384,0.625,0.625,0.625
Random Forest Regressor,None,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7521624209914166,0.4657692307692308,0.2616826923076923,0.5115493058422543,-0.10560937499999978,0.6923076923076923,0.75,0.75,0.75
Gradient Boosting Regressor,None,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.8766808641767463,0.517592071903554,0.3460103196245378,0.5882264186727232,-0.461893600413672,0.5384615384615384,0.625,0.625,0.625
Support Vector Regressor,None,"{'C': 10, 'epsilon': 0.2, 'kernel': 'linear'}",0.36766462247055287,0.41664727044157535,0.2837651709529635,0.5326961337882635,-0.19890784727627042,0.6923076923076923,0.75,0.75,0.75
Ridge Regression,None,{'alpha': 0.1},0.4412368035603897,0.43480735383015784,0.24652216525748488,0.4965099850531557,-0.041556148212873456,0.5384615384615384,0.625,0.625,0.625
Lasso Regression,None,{'alpha': 0.1},0.18947045861301237,0.4605231017698478,0.23176331790470334,0.48141802822983615,0.020799981852628657,0.8461538461538461,0.875,0.875,0.875
MLP Regressor,None,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}",0.5498516204044539,0.46155553815877515,0.2833779875514907,0.5323325911039927,-0.19727199740504786,0.5384615384615384,0.625,0.625,0.625
Linear Regression,StandardScaler,"{'copy_X': True, 'fit_intercept': True}",0.45435146598006904,0.4443579896648447,0.25480752684972396,0.5047846341260043,-0.07656180094008347,0.5384615384615384,0.625,0.625,0.625
Random Forest Regressor,StandardScaler,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7525808170109606,0.46486708467763016,0.25103266289886267,0.5010315987029786,-0.0606130007476946,0.6923076923076923,0.75,0.75,0.75
Gradient Boosting Regressor,StandardScaler,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.8766808641767463,0.4964700844474026,0.33401933090082375,0.5779440551652242,-0.4112316730559802,0.5384615384615384,0.625,0.625,0.625
Support Vector Regressor,StandardScaler,"{'C': 10, 'epsilon': 0.1, 'kernel': 'rbf'}",0.6275164115479643,0.4730591929577275,0.3257120189024993,0.5707118527790529,-0.3761332798630592,0.5384615384615384,0.625,0.625,0.625
Ridge Regression,StandardScaler,{'alpha': 0.1},0.4441916710489459,0.43620597980345444,0.2476824790662904,0.49767708312347514,-0.04645847405507686,0.5384615384615384,0.625,0.625,0.625
Lasso Regression,StandardScaler,{'alpha': 0.1},0.16057436055698737,0.46330375565964566,0.22292954703988926,0.47215415601251387,0.05812266375646802,0.5384615384615384,0.625,0.625,0.625
MLP Regressor,StandardScaler,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50)}",0.7381260619044818,0.4924424514265076,0.32356558309959177,0.5688282544842439,-0.36706458859577507,0.5384615384615384,0.625,0.625,0.625
Linear Regression,MinMaxScaler,"{'copy_X': True, 'fit_intercept': True}",0.45435146598006904,0.44435798966484463,0.25480752684972424,0.5047846341260045,-0.07656180094008458,0.5384615384615384,0.625,0.625,0.625
Random Forest Regressor,MinMaxScaler,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.752979658556431,0.4785785574578678,0.27196010380182706,0.5214979422795712,-0.14903143856271894,0.5384615384615384,0.625,0.625,0.625
Gradient Boosting Regressor,MinMaxScaler,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.8766808641767462,0.49473423594481825,0.3256629089792989,0.5706688260097085,-0.3759257904375375,0.5384615384615384,0.625,0.625,0.625
Support Vector Regressor,MinMaxScaler,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}",0.595799057617359,0.47953829423655503,0.31824294305826395,0.5641302536278868,-0.3445764344211648,0.5384615384615384,0.625,0.625,0.625
Ridge Regression,MinMaxScaler,{'alpha': 0.1},0.4114577277526745,0.4330360181499403,0.2345780330346955,0.4843325644995342,0.008907810428411822,0.5384615384615384,0.625,0.625,0.625
Lasso Regression,MinMaxScaler,{'alpha': 0.1},0.0006659920106524631,0.48658318425760283,0.23996338977409823,0.4898605819762376,-0.013845321795564747,0.38461538461538464,0.5,0.5,0.5
MLP Regressor,MinMaxScaler,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 50)}",0.48462047894130406,0.4495035006283015,0.27463090181426963,0.5240523846088954,-0.16031556016528903,0.5384615384615384,0.625,0.625,0.625
Linear Regression,RobustScaler,"{'copy_X': True, 'fit_intercept': False}",0.45435146598006915,0.44435798966484535,0.25480752684972546,0.5047846341260057,-0.07656180094008991,0.5384615384615384,0.625,0.625,0.625
Random Forest Regressor,RobustScaler,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.753181403283826,0.4696153846153846,0.2683096153846154,0.5179861150500228,-0.13360812499999986,0.5384615384615384,0.625,0.625,0.625
Gradient Boosting Regressor,RobustScaler,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.8766808641767458,0.52369333436375,0.35167244623174276,0.5930197688372141,-0.4858160853291127,0.5384615384615384,0.625,0.625,0.625
Support Vector Regressor,RobustScaler,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}",0.5600561134207247,0.45080570777368095,0.2575911205031882,0.507534354012798,-0.08832248412596999,0.6923076923076923,0.75,0.75,0.75
Ridge Regression,RobustScaler,{'alpha': 0.1},0.4322035348988934,0.43120955258075533,0.24142603023991235,0.4913512290001037,-0.020024977763629437,0.5384615384615384,0.625,0.625,0.625
Lasso Regression,RobustScaler,{'alpha': 0.1},0.1838378680300553,0.4591610795338982,0.22398010844466293,0.4732653678906401,0.05368404182129938,0.5384615384615384,0.625,0.625,0.625
MLP Regressor,RobustScaler,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 50)}",0.7679466010903075,0.42683279566854826,0.2787913080779997,0.5280069204830555,-0.17789327662954846,0.6923076923076923,0.75,0.75,0.75
Linear Regression,MaxAbsScaler,"{'copy_X': True, 'fit_intercept': True}",0.4543514659800691,0.4443579896648449,0.2548075268497243,0.5047846341260046,-0.07656180094008502,0.5384615384615384,0.625,0.625,0.625
Random Forest Regressor,MaxAbsScaler,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7537610003579083,0.45488868175475317,0.2508167829843019,0.5008161169374463,-0.05970090810867523,0.6923076923076923,0.75,0.75,0.75
Gradient Boosting Regressor,MaxAbsScaler,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.8766808641767462,0.5166539099658738,0.34891796307538325,0.5906927823119081,-0.47417839399349404,0.38461538461538464,0.5,0.5,0.5
Support Vector Regressor,MaxAbsScaler,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}",0.5202804882442535,0.44439115225048875,0.2626637911928497,0.5125073572085085,-0.10975451778978984,0.5384615384615384,0.625,0.625,0.625
Ridge Regression,MaxAbsScaler,{'alpha': 0.1},0.4239804098897394,0.4286365078577875,0.2392452203542934,0.48912699818584277,-0.010811055996889474,0.5384615384615384,0.625,0.625,0.625
Lasso Regression,MaxAbsScaler,{'alpha': 0.1},0.0016779130434782586,0.48658318425760283,0.23996338977409823,0.4898605819762376,-0.013845321795564747,0.38461538461538464,0.5,0.5,0.5
